name,type,ISO3,latitude,longitude
Chornomorsk,port,UKR,46.3429225,30.6452624
Odesa,port,UKR,46.489814,30.7579897
Yuzhny/Pivdenny,port,UKR,46.6189212,31.0267066
Bosphorus,strait,TUR,41.11833286,29.07183305
Novorossiysk,port,RUS,44.7252759,37.7760587
Sevastopol,port,RUS,44.6216741,33.52471752
Ust-Luga,port,RUS,59.67942354,28.40689607
Vostochny,port,RUS,42.75240645,133.0568527
Primorsk,port,RUS,60.33400206,28.71043499
Murmansk,port,RUS,68.97518069,33.05367146
Taman,port,RUS,45.12601929,36.68152034
St. Petersburg,port,RUS,59.87974862,30.19520534
Vanino,port,RUS,49.08644498,140.2727319
Vladivostok,port,RUS,43.0896029,131.8748952
Sabetta,port,RUS,71.27891484,72.09328074
Borj Islam,port,SYR,35.6772643,35.7814623
Latakia,port,SYR,35.5234143,35.7749189
Banias,port,SYR,35.2490354,35.9415721
Tartous,port,SYR,34.8869784,35.8813477
